uf_mun_x,total,AFR,ASI,EST,FRC,GER,GRE,IBR,ITA,JEW,MUS,NOR,RUS
SC_SAO LUDGERO,13102,0.8777,2.7095,0.2366,4.3581,9.594,0.1298,80.6213,0.7709,0.0229,0.2442,0.0763,0.3587
SC_SAO MARTINHO,4570,1.1597,2.6039,0.2407,3.3479,16.8271,0.1969,73.9168,0.8753,0.2188,0.2407,0.2845,0.0875
SC_SAO MIGUEL DA BOA VISTA,1841,0.7605,3.0418,0.2173,7.1157,7.9305,0.2173,78.5443,1.358,0.0,0.3259,0.4345,0.0543
SC_SAO MIGUEL DO OESTE,49940,0.4886,2.7793,0.2383,6.8903,6.3056,0.1782,81.632,0.835,0.018,0.3384,0.1962,0.1001
SC_SAO PEDRO DE ALCANTARA,3651,0.7121,1.616,0.1643,4.2728,11.2572,0.0274,80.4985,0.7121,0.0274,0.4108,0.1096,0.1917
SC_SAUDADES,10124,0.7112,3.2991,0.3358,6.3611,11.0134,0.1877,75.968,1.294,0.0099,0.3358,0.3753,0.1087
SC_SCHROEDER,16066,0.8154,2.5084,0.2303,5.9256,13.7122,0.1307,74.7604,1.0519,0.0311,0.4544,0.2614,0.1183
SC_SEARA,21681,0.5719,3.533,0.2029,6.8401,6.4019,0.1476,80.4437,0.8763,0.0138,0.4566,0.3413,0.1707
SC_SERRA ALTA,3685,0.5156,2.6052,0.2714,7.1642,6.54,0.0,81.0312,0.9769,0.1628,0.3256,0.2714,0.1357
SC_SIDEROPOLIS,16672,0.6418,2.8551,0.7318,6.1,2.9391,0.12,85.2207,0.6838,0.024,0.4499,0.138,0.096
SC_SOMBRIO,33801,0.355,1.1686,0.1598,3.3372,1.8609,0.0414,92.1689,0.3166,0.0118,0.2485,0.3106,0.0207
SC_SUL BRASIL,3146,0.3179,3.1151,0.5722,6.4526,5.658,0.1589,81.9771,0.7947,0.0,0.2861,0.445,0.2225
SC_TAIO,21193,0.67,3.2888,0.2925,5.733,8.8001,0.1132,78.8987,1.3118,0.0566,0.4152,0.2359,0.184
SC_TANGARA,11910,0.445,2.7372,0.2603,6.7003,5.6003,0.1931,82.7204,0.7976,0.0336,0.2267,0.2183,0.0672
SC_TIGRINHOS,1702,0.5288,3.4078,0.1763,5.5817,7.6381,0.2938,80.5523,1.1163,0.0588,0.235,0.3525,0.0588
SC_TIJUCAS,37062,0.4749,1.8186,0.2132,4.1903,3.1245,0.116,88.7189,0.7366,0.0405,0.3697,0.0729,0.1241
SC_TIMBE DO SUL,6983,0.3723,2.2913,0.2291,8.4204,3.0503,0.1862,84.4193,0.6587,0.0143,0.1575,0.1002,0.1002
SC_TIMBO,43422,0.9419,2.8142,0.403,6.7109,13.6981,0.1382,73.1173,1.0893,0.0322,0.578,0.3224,0.1543
SC_TIMBO GRANDE,7025,0.6975,1.6512,0.2135,4.6263,4.0142,0.1566,87.9288,0.3416,0.0,0.2847,0.0427,0.0427
SC_TRES BARRAS,19656,0.6563,1.8722,0.5596,5.7896,5.6573,0.1628,84.0049,0.6309,0.0661,0.3612,0.0916,0.1475
SC_TREVISO,3004,0.6991,4.1611,0.233,6.1917,3.1957,0.3662,83.6218,0.7324,0.1332,0.3662,0.0666,0.233
